obj_num,name_1,name_2,preset_amt_1,preset_amt_2,preset_amt_3,preset_amt_4,preset_amt_5,preset_amt_6,preset_amt_7,preset_amt_8,preset_amt_9,preset_amt_10,slu_priority,mi_slu_name_1,mi_slu_name_2,mi_slu_name_3,mi_slu_name_4,mi_slu_name_5,mi_slu_name_6,mi_slu_name_7,mi_slu_name_8,mlvl_class_name,prn_def_class_name,class_def_name,maj_grp_name,fam_grp_name,mi_grp_name,cond_grp_mem_name,cond_req_name,cond_allowed_name,nlu_grp,nlu_num,key_num,cost_1,cost_2,cost_3,cost_4,cost_5,cost_6,cost_7,cost_8,cost_9,cost_10
72155,TERRAPIN PG GLS,TERPIN PG GL,11,,,,,,,,,,,WHITE WINE GLS,,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72156,TERRAPIN PG BTL,TERPIN PG BT,40,,,,,,,,,,,WHITE WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72160,BRIGDOON PB GLS,BRGDN PB GL,11,,,,,,,,,,,WHITE WINE GLS,,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72161,BRIGDOON PB BTL,BRGDN PB BT,40,,,,,,,,,,,WHITE WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72165,CAPITELLO SB GLS,CAPIT SB GL,11,,,,,,,,,,,WHITE WINE GLS,,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72166,CAPITELLO SB BTL,CAPIT SB BT,40,,,,,,,,,,,WHITE WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72170,LONEBRCH CHAR GLS,LONEB CH GL,11,,,,,,,,,,,WHITE WINE GLS,,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72171,LONEBRCH CHAR BTL,LONEB CH BT,40,,,,,,,,,,,WHITE WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72175,TERR EQ REIS GLS,TERR RS GL,11,,,,,,,,,,,WHITE WINE GLS,,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72176,TERR EQ REIS BTL,TERR RS BT,40,,,,,,,,,,,WHITE WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72255,HILLCRST PN GLS,HCRST PN GL,11,,,,,,,,,,,RED WINE GLS,,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - RED,All Items,,,BAR MODS,,,,,,,,,,,,,
72256,HILLCRST PN BTL,HCRST PN BT,40,,,,,,,,,,,RED WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - RED,All Items,,,BAR MODS,,,,,,,,,,,,,
72260,KLINKER SYRH GLS,KLINK SY GL,11,,,,,,,,,,,RED WINE GLS,,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - RED,All Items,,,BAR MODS,,,,,,,,,,,,,
72261,KLINKER SYRH BTL,KLINK SY BT,40,,,,,,,,,,,RED WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - RED,All Items,,,BAR MODS,,,,,,,,,,,,,
72260,LUKE MRLT GLS,LUKE ML GL,11,,,,,,,,,,,RED WINE GLS,,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - RED,All Items,,,BAR MODS,,,,,,,,,,,,,
72261,LUKE MRLT BTL,LUKE ML BT,40,,,,,,,,,,,RED WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - RED,All Items,,,BAR MODS,,,,,,,,,,,,,
72310,TERR ROSE PG GLS,TERR RS PG GL,11,,,,,,,,,,,WHITE WINE GLS,,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72311,TERR ROSE PG BTL,TERR RS PG BT,40,,,,,,,,,,,WHITE WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72315,MRY&KND ROSE GLS,M&K SB GL,9,,,,,,,,,,,WHITE WINE GLS,,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72316,MRY&KND ROSE HCF,M&K SB HC,26,,,,,,,,,,,WHITE WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
72317,MRY&KND ROSE CRF,M&K SB CF,48,,,,,,,,,,,WHITE WINE GLS,"WINE, BOTTLE",,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
73155,AND RICH CR SB BTL,AND RCH SB BT,40,,,,,,,,,,,"WINE, BOTTLE",,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
73160,DANCIN MEL CHAR BTL,DANC CH BT,40,,,,,,,,,,,"WINE, BOTTLE",,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
73165,COEUR REIS BTL,COUER REIS BT,40,,,,,,,,,,,"WINE, BOTTLE",,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
73170,PUDD RV VIOG BTL,PUDD RV VG BT,40,,,,,,,,,,,"WINE, BOTTLE",,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE - WHITE,All Items,,,BAR MODS,,,,,,,,,,,,,
73255,ANTIQ JUEL PN BTL,ANT JUEL PN BT,40,,,,,,,,,,,"WINE, BOTTLE",,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE – RED,All Items,,,BAR MODS,,,,,,,,,,,,,
73260,COR CAB FR BTL,COR CAB FR BT,40,,,,,,,,,,,"WINE, BOTTLE",,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE – RED,All Items,,,BAR MODS,,,,,,,,,,,,,
73265,SINEANN MRLT BTL,SINE MRL BT,40,,,,,,,,,,,"WINE, BOTTLE",,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE – RED,All Items,,,BAR MODS,,,,,,,,,,,,,
73270,FIVESTAR CB SV BTL,5 STAR CBSV BT,40,,,,,,,,,,,"WINE, BOTTLE",,,,,,,,All Levels,CHECK/BAR,WINE,WINE,WINE – RED,All Items,,,BAR MODS,,,,,,,,,,,,,
